analytics_json,captured_at,frame_hex,frame_id,measurement_id,measurement_timestamp,payload_json,session_id,temperature,temperature_unit,unit,value
,2025-09-26T08:49:21.388849,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3533231e03,55,55,2025-09-26T08:49:21.388Z,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3533231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""\u0001#CX-505 S/N00308/25#0#00000#00000#\u0017\u0002#Nr:00000# 461.6 mV rel # 32.2 deg C #26-09-2025#10:43:53#"", ""fields"": [""\u0001"", ""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000"", ""\u0017\u0002"", ""Nr:00000"", ""461.6 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:53""], ""sequence"": ""\u0001"", ""value"": null, ""value_text"": ""CX-505 S/N00308/25"", ""value_unit"": ""S/N00308/25"", ""value_unit_slug"": ""s_n00308_25"", ""temperature"": 0.0, ""temperature_text"": ""0"", ""temperature_unit"": null, ""temperature_unit_slug"": null, ""unit"": ""S/N00308/25"", ""date"": ""00000"", ""time"": ""00000"", ""extra_fields"": [""\u0017\u0002"", ""Nr:00000"", ""461.6 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:53""]}, ""captured_at"": ""2025-09-26T08:49:21.388Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3533231e03""}",3,0.0,,S/N00308/25,
"{""unit"": ""mV rel"", ""samples_tracked"": 1}",2025-09-26T08:49:21.397181,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3534231e03,56,56,2025-09-26T10:43:54,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3534231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# 461.6 mV rel # 32.2 deg C #26-09-2025#10:43:54#"", ""fields"": [""Nr:00000"", ""461.6 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:54""], ""sequence"": ""00000"", ""value"": 461.6, ""value_text"": ""461.6 mV rel"", ""value_unit"": ""mV rel"", ""value_unit_slug"": ""mv_rel"", ""temperature"": 32.2, ""temperature_text"": ""32.2 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""mV rel"", ""value_millivolts_relative"": 461.6, ""temperature_celsius"": 32.2, ""date"": ""26-09-2025"", ""time"": ""10:43:54"", ""timestamp"": ""2025-09-26T10:43:54""}, ""captured_at"": ""2025-09-26T08:49:21.397Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3534231e03"", ""analytics"": {""unit"": ""mV rel"", ""samples_tracked"": 1}}",3,32.2,deg C,mV rel,461.6
"{""unit"": ""mV rel"", ""samples_tracked"": 2, ""stability_index"": 0.0}",2025-09-26T08:49:21.397181,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3535231e03,57,57,2025-09-26T10:43:55,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3535231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# 461.6 mV rel # 32.2 deg C #26-09-2025#10:43:55#"", ""fields"": [""Nr:00000"", ""461.6 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:55""], ""sequence"": ""00000"", ""value"": 461.6, ""value_text"": ""461.6 mV rel"", ""value_unit"": ""mV rel"", ""value_unit_slug"": ""mv_rel"", ""temperature"": 32.2, ""temperature_text"": ""32.2 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""mV rel"", ""value_millivolts_relative"": 461.6, ""temperature_celsius"": 32.2, ""date"": ""26-09-2025"", ""time"": ""10:43:55"", ""timestamp"": ""2025-09-26T10:43:55""}, ""captured_at"": ""2025-09-26T08:49:21.397Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e36206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3535231e03"", ""analytics"": {""unit"": ""mV rel"", ""samples_tracked"": 2, ""stability_index"": 0.0}}",3,32.2,deg C,mV rel,461.6
"{""unit"": ""mV rel"", ""samples_tracked"": 3, ""stability_index"": 0.00010213140480778628}",2025-09-26T08:49:21.964375,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3536231e03,58,58,2025-09-26T10:43:56,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3536231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# 461.5 mV rel # 32.2 deg C #26-09-2025#10:43:56#"", ""fields"": [""Nr:00000"", ""461.5 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:56""], ""sequence"": ""00000"", ""value"": 461.5, ""value_text"": ""461.5 mV rel"", ""value_unit"": ""mV rel"", ""value_unit_slug"": ""mv_rel"", ""temperature"": 32.2, ""temperature_text"": ""32.2 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""mV rel"", ""value_millivolts_relative"": 461.5, ""temperature_celsius"": 32.2, ""date"": ""26-09-2025"", ""time"": ""10:43:56"", ""timestamp"": ""2025-09-26T10:43:56""}, ""captured_at"": ""2025-09-26T08:49:21.964Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3536231e03"", ""analytics"": {""unit"": ""mV rel"", ""samples_tracked"": 3, ""stability_index"": 0.00010213140480778628}}",3,32.2,deg C,mV rel,461.5
"{""unit"": ""mV rel"", ""samples_tracked"": 4, ""stability_index"": 0.00010833062506773127}",2025-09-26T08:49:23.130030,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3537231e03,59,59,2025-09-26T10:43:57,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3537231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# 461.5 mV rel # 32.2 deg C #26-09-2025#10:43:57#"", ""fields"": [""Nr:00000"", ""461.5 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:57""], ""sequence"": ""00000"", ""value"": 461.5, ""value_text"": ""461.5 mV rel"", ""value_unit"": ""mV rel"", ""value_unit_slug"": ""mv_rel"", ""temperature"": 32.2, ""temperature_text"": ""32.2 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""mV rel"", ""value_millivolts_relative"": 461.5, ""temperature_celsius"": 32.2, ""date"": ""26-09-2025"", ""time"": ""10:43:57"", ""timestamp"": ""2025-09-26T10:43:57""}, ""captured_at"": ""2025-09-26T08:49:23.130Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3537231e03"", ""analytics"": {""unit"": ""mV rel"", ""samples_tracked"": 4, ""stability_index"": 0.00010833062506773127}}",3,32.2,deg C,mV rel,461.5
"{""unit"": ""mV rel"", ""samples_tracked"": 5, ""moving_average"": 461.53999999999996, ""stability_index"": 0.00010614420170662283}",2025-09-26T08:49:24.297580,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3538231e03,60,60,2025-09-26T10:43:58,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3538231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# 461.5 mV rel # 32.2 deg C #26-09-2025#10:43:58#"", ""fields"": [""Nr:00000"", ""461.5 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:58""], ""sequence"": ""00000"", ""value"": 461.5, ""value_text"": ""461.5 mV rel"", ""value_unit"": ""mV rel"", ""value_unit_slug"": ""mv_rel"", ""temperature"": 32.2, ""temperature_text"": ""32.2 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""mV rel"", ""value_millivolts_relative"": 461.5, ""temperature_celsius"": 32.2, ""date"": ""26-09-2025"", ""time"": ""10:43:58"", ""timestamp"": ""2025-09-26T10:43:58""}, ""captured_at"": ""2025-09-26T08:49:24.297Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3538231e03"", ""analytics"": {""unit"": ""mV rel"", ""samples_tracked"": 5, ""moving_average"": 461.53999999999996, ""stability_index"": 0.00010614420170662283}}",3,32.2,deg C,mV rel,461.5
"{""unit"": ""mV rel"", ""samples_tracked"": 6, ""moving_average"": 461.52, ""stability_index"": 0.00010213878104675839}",2025-09-26T08:49:25.462332,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3539231e03,61,61,2025-09-26T10:43:59,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3539231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# 461.5 mV rel # 32.2 deg C #26-09-2025#10:43:59#"", ""fields"": [""Nr:00000"", ""461.5 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:43:59""], ""sequence"": ""00000"", ""value"": 461.5, ""value_text"": ""461.5 mV rel"", ""value_unit"": ""mV rel"", ""value_unit_slug"": ""mv_rel"", ""temperature"": 32.2, ""temperature_text"": ""32.2 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""mV rel"", ""value_millivolts_relative"": 461.5, ""temperature_celsius"": 32.2, ""date"": ""26-09-2025"", ""time"": ""10:43:59"", ""timestamp"": ""2025-09-26T10:43:59""}, ""captured_at"": ""2025-09-26T08:49:25.462Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34333a3539231e03"", ""analytics"": {""unit"": ""mV rel"", ""samples_tracked"": 6, ""moving_average"": 461.52, ""stability_index"": 0.00010213878104675839}}",3,32.2,deg C,mV rel,461.5
"{""unit"": ""mV rel"", ""samples_tracked"": 7, ""moving_average"": 461.5, ""stability_index"": 9.7882120288764e-05}",2025-09-26T08:49:26.624074,012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34343a3031231e03,62,62,2025-09-26T10:44:01,"{""raw_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34343a3031231e03"", ""header"": {""raw"": ""#CX-505 S/N00308/25#0#00000#00000#"", ""fields"": [""CX-505 S/N00308/25"", ""0"", ""00000"", ""00000""], ""model"": ""CX-505"", ""serial"": ""00308/25"", ""status"": ""0"", ""range"": ""00000"", ""mode"": ""00000""}, ""measurement"": {""raw"": ""#Nr:00000# 461.5 mV rel # 32.2 deg C #26-09-2025#10:44:01#"", ""fields"": [""Nr:00000"", ""461.5 mV rel"", ""32.2 deg C"", ""26-09-2025"", ""10:44:01""], ""sequence"": ""00000"", ""value"": 461.5, ""value_text"": ""461.5 mV rel"", ""value_unit"": ""mV rel"", ""value_unit_slug"": ""mv_rel"", ""temperature"": 32.2, ""temperature_text"": ""32.2 deg C"", ""temperature_unit"": ""deg C"", ""temperature_unit_slug"": ""deg_c"", ""unit"": ""mV rel"", ""value_millivolts_relative"": 461.5, ""temperature_celsius"": 32.2, ""date"": ""26-09-2025"", ""time"": ""10:44:01"", ""timestamp"": ""2025-09-26T10:44:01""}, ""captured_at"": ""2025-09-26T08:49:26.624Z"", ""device"": {""serial"": ""00308/25"", ""description"": ""CX505"", ""model"": ""CX-505""}, ""raw_frame_hex"": ""012343582d3530352020532f4e30303330382f32352330233030303030233030303030231702234e723a30303030302320203436312e35206d56a072656c2020202320202033322e3220b043202332362d30392d323032352331303a34343a3031231e03"", ""analytics"": {""unit"": ""mV rel"", ""samples_tracked"": 7, ""moving_average"": 461.5, ""stability_index"": 9.7882120288764e-05}}",3,32.2,deg C,mV rel,461.5
